type,upfront,loan,pct_interest,payoff_time,loan_payoff,capacity,repair,fuelcost_ha,cost_tot,price_rent,profit,owncost,payment
MaliTract,2000000,3000000,10,7,5846151,60,1215000,10208,27020,30000,2980,13101,835164.4714
Unsubs40,4000000,6000000,10,7,11692303,60,1215000,10208,40940,43000,2060,13101,1670328.943
impossible,999999999999999,6000000,10,7,11692303,60,1215000,10208,40940,43000,2060,13101,1670328.943
