Step,AgentID,livestock,income,plots,owner,draft,wealth
2,"(33, 21)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,5555556.0
2,"(34, 14)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,23624820.0
2,"(41, 29)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,805374.0
2,"(44, 37)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,-594328.0
3,"(6, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,15026110.0
3,"(6, 43)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,18839420.0
3,"(10, 40)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,8951018.0
3,"(15, 42)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,320369.0
3,"(18, 39)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,9241922.0
3,"(26, 27)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,13434392.0
3,"(29, 9)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,10083227.0
3,"(33, 20)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,7307307.0
3,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,30375460.0
3,"(40, 28)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,1793568.0
3,"(42, 35)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,-692532.0
4,"(7, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,18188205.0
4,"(7, 43)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,22955325.0
4,"(11, 40)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,10832113.0
4,"(14, 42)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,839654.0
4,"(18, 38)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,11315112.0
4,"(26, 27)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,16380582.0
4,"(29, 9)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,12633322.0
4,"(33, 20)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,8984402.0
4,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,36780460.0
4,"(40, 28)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,3050758.0
