Step,owner,age,GM,harvest,crop,plID,X,Y
20,30,12,875000.0,2500.0,cashew,2,38,56
20,30,12,875000.0,2500.0,cashew,1,39,58
20,49,4,211049.99999999997,602.9999999999999,cashew,2,43,83
20,26,1,-28000.0,0.0,cashew,1,44,33
20,26,1,-28000.0,0.0,cashew,2,45,32
20,49,4,203175.0,580.5,cashew,1,49,84
20,7,8,1069451.25,3055.575,cashew,1,51,25
20,7,2,0.0,0.0,cashew,7,52,18
20,7,2,0.0,0.0,cashew,6,54,31
20,7,2,0.0,0.0,cashew,3,55,31
20,7,2,0.0,0.0,cashew,4,55,32
20,7,2,0.0,0.0,cashew,8,57,16
20,7,8,1077614.9999999998,3078.8999999999996,cashew,2,57,23
20,7,2,0.0,0.0,cashew,5,58,31
20,32,11,1693125.0,4837.5,cashew,2,70,43
20,32,11,1312500.0,3750.0,cashew,1,72,34
21,11,1,-28000.0,0.0,cashew,1,30,60
21,11,1,-28000.0,0.0,cashew,2,30,65
21,0,22,1312500.0,3750.0,cashew,0,33,62
21,30,13,875000.0,2500.0,cashew,2,38,56
21,30,13,875000.0,2500.0,cashew,1,39,58
21,49,5,431245.49999999994,1232.1299999999999,cashew,2,43,83
21,26,2,0.0,0.0,cashew,1,44,33
21,26,2,0.0,0.0,cashew,2,45,32
21,49,5,415154.25,1186.155,cashew,1,49,84
21,7,9,1285404.7499999998,3672.5849999999996,cashew,1,51,25
21,7,3,0.0,0.0,cashew,7,52,18
21,7,3,0.0,0.0,cashew,6,54,31
21,7,3,0.0,0.0,cashew,3,55,31
21,7,3,0.0,0.0,cashew,4,55,32
21,7,3,0.0,0.0,cashew,8,57,16
21,7,9,1295216.9999999998,3700.6199999999994,cashew,2,57,23
21,7,3,0.0,0.0,cashew,5,58,31
21,32,12,1693125.0,4837.5,cashew,2,70,43
21,32,12,1312500.0,3750.0,cashew,1,72,34
22,11,2,0.0,0.0,cashew,1,30,60
22,11,2,0.0,0.0,cashew,2,30,65
22,0,23,1312500.0,3750.0,cashew,0,33,62
22,30,14,875000.0,2500.0,cashew,2,38,56
22,30,14,875000.0,2500.0,cashew,1,39,58
22,49,6,652144.4999999999,1863.2699999999998,cashew,2,43,83
22,26,3,0.0,0.0,cashew,1,44,33
22,26,3,0.0,0.0,cashew,2,45,32
22,49,6,627810.75,1793.7450000000001,cashew,1,49,84
22,7,10,1501358.2499999998,4289.594999999999,cashew,1,51,25
22,7,4,215774.99999999997,616.4999999999999,cashew,7,52,18
22,7,4,157500.0,450.0,cashew,6,54,31
22,7,4,157500.0,450.0,cashew,3,55,31
22,7,4,157500.0,450.0,cashew,4,55,32
22,7,4,214200.0,612.0,cashew,8,57,16
22,7,10,1512818.9999999998,4322.339999999999,cashew,2,57,23
22,7,4,157500.0,450.0,cashew,5,58,31
22,32,13,1693125.0,4837.5,cashew,2,70,43
22,32,13,1312500.0,3750.0,cashew,1,72,34
23,11,3,0.0,0.0,cashew,1,30,60
23,11,3,0.0,0.0,cashew,2,30,65
23,0,24,1312500.0,3750.0,cashew,0,33,62
23,30,15,875000.0,2500.0,cashew,2,38,56
23,30,15,875000.0,2500.0,cashew,1,39,58
23,49,7,873043.5,2494.41,cashew,2,43,83
23,26,4,157500.0,450.0,cashew,1,44,33
23,26,4,157500.0,450.0,cashew,2,45,32
23,49,7,840467.25,2401.335,cashew,1,49,84
23,7,11,1719375.0,4912.5,cashew,1,51,25
23,7,5,440900.25,1259.715,cashew,7,52,18
23,7,5,321825.0,919.5,cashew,6,54,31
23,7,5,321825.0,919.5,cashew,3,55,31
23,7,5,321825.0,919.5,cashew,4,55,32
23,7,5,437682.0,1250.52,cashew,8,57,16
23,7,11,1732499.9999999998,4949.999999999999,cashew,2,57,23
23,7,5,321825.0,919.5,cashew,5,58,31
23,32,14,1693125.0,4837.5,cashew,2,70,43
23,32,14,1312500.0,3750.0,cashew,1,72,34
23,23,0,0.0,0.0,cashew,1,81,50
23,23,0,0.0,0.0,cashew,2,86,51
24,11,4,157500.0,450.0,cashew,1,30,60
24,11,4,157500.0,450.0,cashew,2,30,65
24,0,25,1312500.0,3750.0,cashew,0,33,62
24,30,16,875000.0,2500.0,cashew,2,38,56
24,30,16,875000.0,2500.0,cashew,1,39,58
24,49,8,1093942.5,3125.5499999999997,cashew,2,43,83
24,26,5,321825.0,919.5,cashew,1,44,33
24,26,5,321825.0,919.5,cashew,2,45,32
24,49,8,1053123.75,3008.925,cashew,1,49,84
24,7,12,1719375.0,4912.5,cashew,1,51,25
24,7,6,666744.7499999999,1904.9849999999997,cashew,7,52,18
24,7,6,486675.0,1390.5,cashew,6,54,31
24,7,6,486675.0,1390.5,cashew,3,55,31
24,7,6,486675.0,1390.5,cashew,4,55,32
24,7,6,661878.0,1891.08,cashew,8,57,16
24,7,12,1732499.9999999998,4949.999999999999,cashew,2,57,23
24,7,6,486675.0,1390.5,cashew,5,58,31
24,32,15,1693125.0,4837.5,cashew,2,70,43
24,32,15,1312500.0,3750.0,cashew,1,72,34
24,23,1,-28000.0,0.0,cashew,1,81,50
24,23,1,-28000.0,0.0,cashew,2,86,51
25,11,5,321825.0,919.5,cashew,1,30,60
25,11,5,321825.0,919.5,cashew,2,30,65
25,0,26,1312500.0,3750.0,cashew,0,33,62
25,30,17,875000.0,2500.0,cashew,2,38,56
25,30,17,875000.0,2500.0,cashew,1,39,58
25,49,9,1314841.4999999998,3756.6899999999996,cashew,2,43,83
25,26,6,486675.0,1390.5,cashew,1,44,33
25,26,6,486675.0,1390.5,cashew,2,45,32
