Step,owner,plID,crop,mgt,harvest,GM,pot,steps_cult,suitability,steps_fallow,X,Y
0,13,6,G,lo,729.0,145800.0,1.5,6,1.5,0,30,18
0,52,28,M,lo,1200.0,56740.0,1.0,5,1.0,0,30,42
0,52,24,M,lo,1200.0,56740.0,1.0,9,1.0,0,30,43
0,52,13,G,lo,486.0,97200.0,1.0,3,1.0,0,30,44
0,52,8,G,lo,486.0,97200.0,1.0,1,1.0,0,30,45
0,36,9,G,lo,729.0,145800.0,1.5,8,1.5,0,30,46
0,36,4,G,lo,729.0,145800.0,1.5,3,1.5,0,30,47
0,27,11,M,lo,1800.0,111940.0,1.5,8,1.5,0,30,48
0,22,7,C,lo,900.0,140668.0,1.0,5,1.0,0,30,60
0,15,12,C,lo,1350.0,241918.0,1.5,10,1.5,0,30,61
0,22,9,C,lo,900.0,140668.0,1.0,3,1.0,0,30,62
0,22,10,G,lo,486.0,97200.0,1.0,3,1.0,0,30,63
0,40,0,G,lo,486.0,97200.0,1.0,8,1.0,0,30,64
0,27,4,G,lo,729.0,145800.0,1.5,3,1.5,0,30,65
0,24,1,M,lo,1800.0,111940.0,1.5,5,1.5,0,31,17
0,24,0,M,lo,1800.0,111940.0,1.5,4,1.5,0,31,31
0,52,27,G,lo,486.0,97200.0,1.0,9,1.0,0,31,43
0,52,19,G,lo,486.0,97200.0,1.0,2,1.0,0,31,44
0,52,11,C,lo,900.0,140668.0,1.0,10,1.0,0,31,45
0,52,0,C,lo,1350.0,241918.0,1.5,2,1.5,0,31,46
0,36,10,M,lo,1800.0,111940.0,1.5,5,1.5,0,31,47
0,27,12,M,lo,1800.0,111940.0,1.5,3,1.5,0,31,48
0,36,7,C,lo,900.0,140668.0,1.0,6,1.0,0,31,49
0,36,0,C,lo,900.0,140668.0,1.0,7,1.0,0,31,50
0,15,8,C,lo,1350.0,241918.0,1.5,6,1.5,0,31,58
0,22,11,M,lo,1200.0,56740.0,1.0,2,1.0,0,31,59
0,36,2,M,lo,1200.0,56740.0,1.0,8,1.0,0,31,60
0,40,2,G,lo,486.0,97200.0,1.0,1,1.0,0,31,61
0,27,0,G,lo,729.0,145800.0,1.5,6,1.5,0,31,62
0,40,1,M,lo,1200.0,56740.0,1.0,9,1.0,0,31,63
0,27,1,G,lo,729.0,145800.0,1.5,1,1.5,0,31,64
0,27,6,C,lo,1350.0,241918.0,1.5,7,1.5,0,31,65
0,27,13,G,lo,729.0,145800.0,1.5,3,1.5,0,31,66
0,57,5,C,lo,0.0,0.0,1.83,0,1.5,10,32,37
0,52,4,G,lo,729.0,145800.0,1.5,9,1.5,0,32,45
0,52,2,C,lo,1350.0,241918.0,1.5,6,1.5,0,32,46
0,52,1,M,lo,1800.0,111940.0,1.5,9,1.5,0,32,47
0,15,15,C,lo,1350.0,241918.0,1.5,4,1.5,0,32,48
0,52,7,M,lo,1200.0,56740.0,1.0,7,1.0,0,32,49
0,36,14,C,lo,900.0,140668.0,1.0,9,1.0,0,32,50
0,36,12,C,lo,900.0,140668.0,1.0,7,1.0,0,32,52
0,36,8,C,lo,900.0,140668.0,1.0,8,1.0,0,32,53
0,36,1,M,lo,1200.0,56740.0,1.0,6,1.0,0,32,54
0,15,0,G,lo,729.0,145800.0,1.5,2,1.5,0,32,55
0,36,5,G,lo,486.0,97200.0,1.0,1,1.0,0,32,56
0,36,6,G,lo,486.0,97200.0,1.0,10,1.0,0,32,57
0,15,7,M,lo,1800.0,111940.0,1.5,5,1.5,0,32,58
0,40,7,G,lo,486.0,97200.0,1.0,8,1.0,0,32,59
0,40,6,C,lo,900.0,140668.0,1.0,2,1.0,0,32,60
0,40,5,C,lo,900.0,140668.0,1.0,2,1.0,0,32,61
0,15,16,C,lo,1350.0,241918.0,1.5,3,1.5,0,32,62
0,40,3,M,lo,1200.0,56740.0,1.0,2,1.0,0,32,63
0,40,4,G,lo,486.0,97200.0,1.0,4,1.0,0,32,64
0,27,8,M,lo,1800.0,111940.0,1.5,5,1.5,0,32,65
0,27,15,C,lo,1350.0,241918.0,1.5,2,1.5,0,32,66
0,52,3,M,lo,1800.0,111940.0,1.5,2,1.5,0,33,47
0,52,15,G,lo,486.0,97200.0,1.0,2,1.0,0,33,48
0,15,11,C,lo,1350.0,241918.0,1.5,10,1.5,0,33,49
0,52,10,M,lo,1200.0,56740.0,1.0,5,1.0,0,33,50
0,52,14,C,lo,900.0,140668.0,1.0,9,1.0,0,33,52
0,52,17,C,lo,900.0,140668.0,1.0,6,1.0,0,33,53
0,15,2,M,lo,1800.0,111940.0,1.5,9,1.5,0,33,54
0,40,15,G,lo,486.0,97200.0,1.0,3,1.0,0,33,56
0,40,10,M,lo,1200.0,56740.0,1.0,7,1.0,0,33,57
0,40,8,M,lo,1200.0,56740.0,1.0,9,1.0,0,33,59
0,15,9,C,lo,1350.0,241918.0,1.5,6,1.5,0,33,60
0,15,10,G,lo,729.0,145800.0,1.5,10,1.5,0,33,61
0,15,14,G,lo,729.0,145800.0,1.5,10,1.5,0,33,62
0,40,9,C,lo,900.0,140668.0,1.0,5,1.0,0,33,63
0,40,16,C,lo,900.0,140668.0,1.0,5,1.0,0,33,64
0,40,12,M,lo,1200.0,56740.0,1.0,2,1.0,0,33,66
0,61,13,M,lo,1800.0,111940.0,1.5,1,1.5,0,34,37
0,61,14,G,lo,729.0,145800.0,1.5,7,1.5,0,34,38
0,61,17,C,lo,1350.0,241918.0,1.5,7,1.5,0,34,39
0,61,19,G,lo,729.0,145800.0,1.5,4,1.5,0,34,40
0,52,22,G,lo,486.0,97200.0,1.0,9,1.0,0,34,49
0,52,21,M,lo,1200.0,56740.0,1.0,8,1.0,0,34,50
0,52,23,M,lo,1200.0,56740.0,1.0,6,1.0,0,34,51
0,52,25,M,lo,1200.0,56740.0,1.0,4,1.0,0,34,52
0,52,26,C,lo,900.0,140668.0,1.0,6,1.0,0,34,53
0,52,29,C,lo,900.0,140668.0,1.0,8,1.0,0,34,54
0,15,1,C,lo,1350.0,241918.0,1.5,8,1.5,0,34,55
0,15,3,M,lo,1800.0,111940.0,1.5,2,1.5,0,34,56
0,27,2,M,lo,1800.0,111940.0,1.5,7,1.5,0,34,63
0,27,7,G,lo,729.0,145800.0,1.5,8,1.5,0,34,64
0,61,7,M,lo,1800.0,111940.0,1.5,10,1.5,0,35,37
0,61,9,M,lo,1800.0,111940.0,1.5,2,1.5,0,35,38
0,61,10,M,lo,1800.0,111940.0,1.5,6,1.5,0,35,39
0,61,16,M,lo,1800.0,111940.0,1.5,5,1.5,0,35,40
0,52,30,G,lo,486.0,97200.0,1.0,3,1.0,0,35,50
0,52,31,M,lo,1200.0,56740.0,1.0,8,1.0,0,35,51
0,27,3,C,lo,1350.0,241918.0,1.5,10,1.5,0,35,63
0,27,10,C,lo,1350.0,241918.0,1.5,5,1.5,0,35,64
