,rentout,rentin
0,86.8,43.0
1,69.6,34.8
2,0.0,0.0
3,71.6,35.8
4,72.3,36.0
5,72.19999999999999,36.099999999999994
6,72.9,36.0
7,69.80000000000001,34.900000000000006
8,0.0,0.0
9,71.4,35.7
10,69.4,34.7
11,74.19999999999999,37.099999999999994
12,72.19999999999999,36.099999999999994
13,72.19999999999999,36.099999999999994
14,80.19999999999999,40.099999999999994
15,80.2,40.0
16,80.4,40.2
17,78.4,39.2
18,74.4,37.2
19,74.4,37.2
20,170.4666666666667,85.23333333333333
21,172.66666666666663,86.33333333333333
