Step,owner,tract,rentin,wealth,draft,trees,rentout,livestock,cplots,hhsize,X,Y
1,9,0,0,67021.5,2.0,0,0,0.0,6,13,90,79
1,27,0,0,95892.0,1.0,0,0,0.0,5,7,91,77
1,8,0,0,0.0,0.0,0,0,0.0,1,3,95,16
1,43,0,0,59005.0,2.0,0,0,6.0,5,9,96,29
1,31,0,0,286954.0,2.0,0,0,2.0,6,16,101,26
1,46,0,0,49506.0,0.0,0,0,0.0,3,6,106,32
1,17,0,0,0.0,2.0,0,0,0.0,8,30,108,2
1,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
2,5,0,0,0.0,2.0,0,0,0.0,3,16,3,91
2,44,0,0,241549.0,2.0,0,0,57.0,5,7,5,80
2,26,0,0,248571.0,2.0,0,0,2.0,6,11,17,42
2,42,0,0,47569.0,2.0,1,0,0.0,6,7,20,72
2,34,0,0,98377.0,2.0,1,0,0.0,7,9,21,44
2,41,0,0,1192677.0,6.0,1,0,3.0,27,39,23,58
2,39,0,0,0.0,0.0,0,0,0.0,20,33,25,46
2,28,0,0,26963.0,1.0,0,0,0.0,4,3,30,48
2,18,0,0,0.0,0.0,0,0,0.0,12,23,32,42
2,0,0,0,1426591.0,4.0,1,0,15.0,33,80,35,76
2,37,0,0,1966.0,2.0,1,0,0.0,7,16,38,31
2,23,0,0,115891.5,2.0,1,0,0.0,5,9,39,10
2,25,0,0,7278.5,1.0,1,0,0.0,8,10,40,11
2,4,0,0,358277.5,3.0,1,0,0.0,8,16,40,44
2,47,0,0,201190.0,0.0,0,0,0.0,2,6,41,6
2,29,0,0,5906.0,2.0,0,0,0.0,10,20,41,40
2,35,0,0,295942.5,2.0,0,0,0.0,6,11,41,63
2,2,0,0,264613.0,2.0,0,0,4.0,4,5,42,17
2,15,0,0,3622.5,0.0,0,0,0.0,16,34,42,74
2,3,0,0,87928.0,1.0,1,0,0.0,11,16,49,23
2,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
2,24,0,0,17892.0,0.0,0,0,0.0,3,9,52,74
2,16,0,0,375458.0,2.0,0,0,0.0,15,22,54,89
2,14,0,0,956365.335,2.0,1,0,0.0,20,45,56,43
2,22,0,0,154533.0,3.0,0,0,0.0,7,11,56,74
2,38,0,0,136189.0,4.0,0,0,4.0,16,34,57,60
2,12,0,0,0.0,2.0,0,0,0.0,4,18,58,77
2,36,0,0,38182.0,2.0,0,0,0.0,10,20,60,16
