owner,0
28,"[837694.0, 481620.0, 830652.0, 1225412.0, 673048.0, 996602.0, 1626212.0, 1245835.0, 2323147.0, 2843387.0, 2754559.0, 3457841.0, 4393205.0, 4093150.0, 5011256.0, 6216993.5, 5982526.0, 6983684.0, 8272701.5, 8455375.0]"
48,"[182250.0, 742103.625, 558702.12, 1133451.75, 1076760.0, 1266604.1200000001, 1116557.9999999998, 1312324.9999999998, 1342942.9999999998, 2362176.0, 3669313.0, 5481573.5, 8493461.25, 11231247.25, 14672814.75, 18182950.5]"
46,"[111940.0, 417372.0, 419794.0, 462083.0, 586372.0, 1135412.0, 1451152.0, 2752773.2399999998, 3522122.25, 3765520.0, 4150528.0, 5270674.0, 5980144.0, 6994453.0, 9618869.5, 11386676.5, 13507822.0, 17274089.5, 20789263.0, 25666818.959999997]"
6,"[679318.0, 837694.0, 481620.0, 679318.0, 837694.0, 1281033.5, 1235563.5, 1219652.0, 1065605.5, 1314295.5, 1462652.0, 1343111.5, 1843749.0, 2127683.0, 2058904.5, 2668478.5, 3099635.25, 2885712.25, 4340926.75, 5837520.75]"
1,"[387718.0, 353858.0, 257740.0, 387718.0, 353858.0, 302452.0, 427084.0, 435870.5, 302452.0, 427084.0, 435870.5, 302452.0, 427084.0, 492174.5, 324024.0, 542023.0, 521442.5, 713417.0, 1556464.25, 1694878.75]"
13,"[3354022.0, 2838338.0, 3058126.0, 3864252.5, 3680896.0, 5929669.0, 4710928.0, 4344848.5, 4969512.0, 5743753.0, 4853241.5, 5721819.5, 7131171.5, 9235672.5, 14254057.25, 20744922.75, 22186712.25, 34390845.664999999, 39369116.75, 46891877.25]"
3,"[1920552.0, 1987038.0, 1881466.5, 2410145.5, 2261224.0, 2641738.5, 3544902.5, 4685049.5, 5825481.5, 7339668.5, 10079803.0, 12227962.5, 16647387.0, 21055223.5, 26650394.5, 33045036.75, 40135744.75, 46759824.25, 53712329.25, 61361075.5]"
16,"[2436032.0, 2794248.5, 2412284.0, 2545958.0, 2946654.5, 2537495.5, 3071700.0, 3645086.5, 3183375.0, 4120748.0, 4891140.5, 6286272.0, 10614277.25, 15085005.0, 21931068.5, 30240835.75, 39252636.25, 50484654.25, 65653734.25, 77815351.0]"
23,"[723538.0, 1663703.5, 2236257.375, 1246136.0, 1678328.0, 2082849.5, 2620644.5, 3593464.5, 4274316.0, 5686584.0, 7018619.0, 8466764.0, 9759927.5, 11847008.0, 14261819.0, 17515531.25, 21632363.75, 25802832.5, 30854684.75, 36865337.25]"
44,"[689678.0, 695140.0, 1113472.0, 841362.0, 1068090.0, 1825120.5, 1084126.0, 1501875.0, 2347172.0, 1947712.0, 2231295.5, 5035329.5, 5753360.75, 9230791.25, 14011914.5, 16487427.5, 22222441.899999999, 28332634.25, 32714760.5, 36473078.0]"
35,"[999316.0, 1032850.0, 1420703.0, 1267324.0, 1278916.0, 1562129.0, 1640220.5, 2456252.5, 3614733.0, 4807418.5, 6816061.5, 9119776.5, 10792566.5, 13415621.5, 15766417.5, 18087518.5, 22250092.0, 25072720.75, 27379846.75, 29999530.75]"
27,"[627420.0, 991098.5, 987722.0, 632954.0, 1127256.5, 1429264.5, 1284094.0, 2882224.5, 3205129.0, 3484258.0, 4719393.0, 5392991.0, 5692282.0, 7999607.0, 9040886.25, 9498356.75, 11213015.75, 11918341.75, 11878694.25, 13740260.75]"
39,"[3453386.0, 3620218.0, 3167654.5, 3780491.0, 3954721.0, 3419100.0, 4087157.0, 4362808.0, 3900056.5, 4700370.5, 5181542.5, 8987251.8200000003, 5655518.25, 10507662.675000001, 4637160.5, 9554058.8150000013, 6329130.9999999991, 9568138.0, 14636437.874999998, 18781758.25]"
26,"[723538.0, 1068963.5, 1197035.0, 1340749.8799999999, 1553145.0, 1740312.0, 1976599.0, 3591741.0, 4252987.25, 5227907.75, 6539298.75, 6871471.75, 8017494.75, 9953577.75, 12333551.25, 14853357.25, 18381055.75, 21023553.75, 24756948.25, 28369537.75]"
0,"[2001676.0, 1837219.0, 1887541.5, 2302068.5, 2268449.0, 2145742.5, 2566409.5, 2529252.5, 2517486.0, 2663408.5, 2847149.6000000001, 2788372.2999999998, 3057580.5, 3018242.6000000001, 2813214.4000000004, 3041371.7999999998, 3086518.1000000001, 2905956.4000000004, 3009873.2999999998, 2999438.6000000001]"
24,"[499658.0, 499658.0, 572558.0, 539402.0, 534650.0, 572558.0, 539402.0, 534650.0, 572558.0, 584600.0, 961855.5, 785514.0, 1787332.46, 1355621.4999999998, 1222848.9999999998, 1599624.9999999998, 1759499.0, 1561570.0, 3288632.4699999997, 1672897.0]"
43,"[853516.0, 757398.0, 887376.0, 891604.0, 1117494.0, 1143914.5, 1033296.0, 1302994.0, 1634791.0, 2295103.0, 3340876.75, 4073958.25, 6289860.25, 8225946.25, 11689903.75, 14722884.25, 19325971.0, 22934170.75, 27947223.25, 33046502.5]"
29,"[1402856.0, 1848690.5, 1884845.0, 1660956.0, 2194910.0, 2549313.5, 2933351.5, 4230143.0, 5222983.5, 6413260.5, 7542351.0, 9081086.0, 9722977.0, 12234896.5, 15005043.75, 18067957.75, 20957385.0, 24482827.0, 27242254.0, 32493999.0]"
2,"[707716.0, 803859.0, 998364.0, 968194.0, 1043258.5, 1434034.5, 1618894.0, 1898651.5, 2568650.5, 3050936.0, 4198078.0, 5500626.25, 6950182.0, 8511492.25, 10088541.25, 12008674.75, 14411799.25, 17538598.0, 20289117.25, 23251540.0]"
15,"[2532150.0, 2780868.0, 2652622.0, 3023399.5, 2892054.0, 2839489.0, 3145565.5, 3092529.0, 3295899.5, 3420315.5, 3481086.0, 3468020.0, 3644240.0, 3669915.0, 3603722.0, 3824303.0, 3830317.5, 3684218.0, 3901613.0, 3878017.5]"
40,"[645458.0, 775110.0, 1032985.0, 1049358.0, 1575387.0, 1583488.5, 1327861.0, 1818523.0, 1859968.5, 1697396.0, 2208755.0, 2991799.5, 4563523.75, 7575110.0, 11038518.75, 14034991.25, 18744541.25, 23825961.0, 29477814.5, 36530398.0]"
22,"[2015628.0, 1729792.0, 1798999.0, 2107518.0, 967318.0, 1475670.5, 1275276.5, 1488479.0, 1771244.5, 1932444.5, 1712886.4999999998, 2178609.5, 2720947.0, 3836435.0, 5597147.25, 6846586.75, 8049750.25, 9674765.25, 10740726.25, 11923081.75]"
18,"[1746780.0, 1780278.0, 1485340.0, 2102612.5, 2108817.0, 1909301.0, 2391792.5, 2426524.5, 2322980.0, 2943651.5, 2977774.5, 2971991.0, 3776954.0, 4219722.5, 5457739.0, 8048577.75, 10225490.5, 12968773.5, 17074328.5, 20283639.0]"
47,"[308743.0, 668838.88, 424696.0, 1386963.4999999998, 564575.5, 538194.0, 905998.5, 1206919.0, 1116444.5, 2740168.25, 3024046.75, 3939701.25, 6015811.25, 6655802.5, 7395109.5, 8556451.5, 9923829.25, 10071143.75]"
41,"[1676728.0, 2066925.5, 1987690.0, 1830090.0, 2322694.5, 2073655.0, 2008450.0, 1989779.0, 2436680.5, 2595964.5, 4473733.0, 5321181.0, 6273037.5, 11394994.254999999, 8971369.0, 9851892.5, 11691269.0, 12572168.5, 12308525.5, 13060246.5]"
9,"[921236.0, 1019496.5, 1012280.5, 1330490.0, 1629330.0, 1561128.0, 1867117.0, 2614021.0, 2818993.0, 4092076.0, 5344947.0, 6315210.0, 7767007.0, 8513015.0, 9354443.5, 10479572.5, 11225613.0, 10713608.0, 11078351.0, 11324280.0]"
12,"[316060.0, 415929.0, 329338.0, 351052.0, 427350.0, 287722.0, 315724.0, 427350.0, 287722.0, 315724.0, 427350.0, 419098.0, 443056.0, 692625.0, 432346.0, 443056.0, 692625.0, 437866.0, 447916.0, 714414.0]"
